#,Name,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Base Attack,Base Defense,Base Stamina
1,Bulbasaur,45,49,49,65,65,45,34,34,90
2,Ivysaur,60,62,63,80,80,60,40,40,120
3,Venusaur,80,82,83,100,100,80,44,44,160
4,Charmander,39,52,43,60,50,65,38,36,78
5,Charmeleon,58,64,58,80,65,80,42,40,116
6,Charizard,78,84,78,109,85,100,48,46,156
7,Squirtle,44,48,65,50,64,43,32,36,88
8,Wartortle,59,63,80,65,80,58,38,40,118
9,Blastoise,79,83,100,85,105,78,44,46,158
10,Caterpie,45,30,35,20,20,45,28,28,90
11,Metapod,50,20,55,25,25,30,24,28,100
12,Butterfree,60,45,50,90,80,70,40,40,120
13,Weedle,40,35,30,20,20,50,28,28,80
14,Kakuna,45,25,50,25,25,35,26,30,90
15,Beedrill,65,90,40,45,80,75,40,40,130
16,Pidgey,40,45,40,35,35,56,32,32,80
17,Pidgeotto,63,60,55,50,50,71,38,38,126
18,Pidgeot,83,80,75,70,70,101,44,44,166
19,Rattata,30,56,35,25,35,72,34,34,60
20,Raticate,55,81,60,50,70,97,42,42,110
21,Spearow,40,60,30,31,31,70,36,32,80
22,Fearow,65,90,65,61,61,100,44,42,130
23,Ekans,35,60,44,40,54,55,34,34,70
24,Arbok,60,85,69,65,79,80,42,42,120
25,Pikachu,35,55,40,50,50,90,40,38,70
26,Raichu,60,90,55,90,80,110,48,44,120
27,Sandshrew,50,75,85,20,30,40,32,34,100
28,Sandslash,75,100,110,45,55,65,40,42,150
29,Nidoran_,55,47,52,40,40,41,32,32,110
30,Nidorina,70,62,67,55,55,56,36,38,140
31,Nidoqueen,90,92,87,75,85,76,44,44,180
32,Nidoran_,46,57,40,40,40,50,34,32,92
33,Nidorino,61,72,57,55,55,65,38,38,122
34,Nidoking,81,102,77,85,75,85,46,44,162
35,Clefairy,70,45,48,60,65,35,32,34,140
36,Clefable,95,70,73,95,90,60,42,42,190
37,Vulpix,38,41,40,50,65,65,36,36,76
38,Ninetales,73,76,75,81,100,100,46,46,146
39,Jigglypuff,115,45,20,45,25,20,28,22,230
40,Wigglytuff,140,70,45,85,50,45,38,32,280
41,Zubat,40,45,35,30,40,55,32,32,80
42,Golbat,75,80,70,65,75,90,44,44,150
43,Oddish,45,50,55,75,65,30,34,32,90
44,Gloom,60,65,70,85,75,40,38,36,120
45,Vileplume,75,80,85,110,90,50,42,40,150
46,Paras,35,70,55,45,55,25,32,30,70
47,Parasect,60,95,80,60,80,30,36,36,120
48,Venonat,60,55,50,40,55,45,32,34,120
49,Venomoth,70,65,60,90,75,90,44,42,140
50,Diglett,10,55,25,35,45,95,38,36,20
51,Dugtrio,35,80,50,50,70,120,44,44,70
52,Meowth,40,45,35,40,40,90,38,36,80
53,Persian,65,70,60,65,65,115,44,44,130
54,Psyduck,50,52,48,65,50,55,36,34,100
55,Golduck,80,82,78,95,80,85,46,44,160
56,Mankey,40,80,35,35,45,70,38,34,80
57,Primeape,65,105,60,60,70,95,46,42,130
58,Growlithe,55,70,45,70,50,60,40,34,110
59,Arcanine,90,110,80,100,80,95,48,44,180
60,Poliwag,40,50,40,40,40,90,38,36,80
61,Poliwhirl,65,65,65,50,50,90,40,40,130
62,Poliwrath,90,95,95,70,90,70,42,44,180
63,Abra,25,20,15,105,55,90,42,36,50
64,Kadabra,40,35,30,120,70,105,46,40,80
65,Alakazam,55,50,45,135,95,120,50,46,110
66,Machop,70,80,50,35,35,35,34,30,140
67,Machoke,80,100,70,50,60,45,38,36,160
68,Machamp,90,130,80,65,85,55,42,40,180
69,Bellsprout,50,75,35,70,30,40,36,28,100
70,Weepinbell,65,90,50,85,45,55,42,34,130
71,Victreebel,80,105,65,100,70,70,46,40,160
72,Tentacool,40,40,35,50,100,70,36,40,80
73,Tentacruel,80,70,65,80,120,100,44,48,160
74,Geodude,40,80,100,30,30,20,30,32,80
75,Graveler,55,95,115,45,45,35,36,38,110
76,Golem,80,120,130,55,65,45,40,42,160
77,Ponyta,50,85,55,65,65,90,44,40,100
78,Rapidash,65,100,70,80,80,105,48,44,130
79,Slowpoke,90,65,65,40,40,15,28,28,180
80,Slowbro,95,75,110,100,80,30,38,38,190
81,Magnemite,25,35,70,95,55,45,36,36,50
82,Magneton,50,60,95,120,70,70,44,42,100
83,Farfetch'd,52,65,55,58,62,60,38,38,104
84,Doduo,35,85,45,35,35,75,40,36,70
85,Dodrio,60,110,70,60,60,100,46,42,120
86,Seel,65,45,55,45,70,45,32,36,130
87,Dewgong,90,70,80,70,95,70,40,44,180
88,Grimer,80,80,50,40,50,25,32,30,160
89,Muk,105,105,75,65,100,50,40,40,210
90,Shellder,30,65,100,45,25,40,34,36,60
91,Cloyster,50,95,180,85,45,70,44,46,100
92,Gastly,30,35,30,100,35,80,42,34,60
93,Haunter,45,50,45,115,55,95,46,40,90
94,Gengar,60,65,60,130,75,110,48,44,120
95,Onix,35,45,160,30,45,70,34,46,70
96,Drowzee,60,48,45,43,90,42,32,36,120
97,Hypno,85,73,70,73,115,67,40,44,170
98,Krabby,30,105,90,25,25,50,36,36,60
99,Kingler,55,130,115,50,50,75,44,44,110
100,Voltorb,40,30,50,55,55,100,38,40,80
101,Electrode,60,50,70,80,80,140,46,48,120
102,Exeggcute,60,40,80,60,45,40,32,36,120
103,Exeggutor,95,95,85,125,65,55,44,40,190
104,Cubone,50,50,95,40,50,35,30,36,100
105,Marowak,60,80,110,50,80,45,36,40,120
106,Hitmonlee,50,120,53,35,110,87,44,44,100
107,Hitmonchan,50,105,79,35,110,76,42,44,100
108,Lickitung,90,55,75,60,75,30,32,36,180
109,Koffing,40,65,95,60,45,35,34,36,80
110,Weezing,65,90,120,85,70,60,42,44,130
111,Rhyhorn,80,85,95,30,30,25,32,32,160
112,Rhydon,105,130,120,45,45,40,40,38,210
113,Chansey,250,5,5,35,105,50,26,36,500
114,Tangela,65,55,115,100,40,60,40,40,130
115,Kangaskhan,105,95,80,40,80,90,42,44,210
116,Horsea,30,40,70,70,25,60,36,34,60
117,Seadra,55,65,95,95,45,85,44,42,110
118,Goldeen,45,67,60,35,50,63,36,36,90
119,Seaking,80,92,65,65,80,68,42,40,160
120,Staryu,30,45,55,70,55,85,40,40,60
121,Starmie,60,75,85,100,85,115,48,48,120
122,Mr. Mime,40,45,65,100,120,90,44,46,80
123,Scyther,70,110,80,55,80,105,46,46,140
124,Jynx,65,50,35,115,95,95,46,42,130
125,Electabuzz,65,83,57,95,85,105,48,44,130
126,Magmar,65,95,57,100,85,93,48,44,130
127,Pinsir,65,125,100,55,70,85,46,44,130
128,Tauros,75,100,95,40,70,110,44,46,150
129,Magikarp,20,10,55,15,20,80,28,36,40
130,Gyarados,95,125,79,60,100,81,46,44,190
131,Lapras,130,85,80,85,95,60,42,42,260
132,Ditto,48,48,48,48,48,48,34,34,96
133,Eevee,55,55,50,45,65,55,34,36,110
134,Vaporeon,130,65,60,110,95,65,42,42,260
135,Jolteon,65,65,60,110,95,130,50,48,130
136,Flareon,65,130,60,95,110,65,46,42,130
137,Porygon,65,60,70,85,75,40,36,36,130
138,Omanyte,35,40,100,90,55,35,34,36,70
139,Omastar,70,60,125,115,70,55,42,42,140
140,Kabuto,30,80,90,55,45,55,38,38,60
141,Kabutops,60,115,105,65,70,80,44,44,120
142,Aerodactyl,80,105,65,60,75,130,48,46,160
143,Snorlax,160,110,65,65,110,30,38,38,320
144,Articuno,90,85,100,95,125,85,46,48,180
145,Zapdos,90,90,85,125,90,100,50,46,180
146,Moltres,90,100,90,125,85,90,48,46,180
147,Dratini,41,64,45,50,50,50,36,34,82
148,Dragonair,61,84,65,70,70,70,42,40,122
149,Dragonite,91,134,95,100,100,80,48,46,182
150,Mewtwo,106,110,90,154,90,130,56,50,212
151,Mew,100,100,100,100,100,100,48,48,200
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
